Date,"Bayer
Close Price","BMW
Close Price","Siemens
Close Price"
2014/7/25,98.71,94.3,93.03
2014/7/24,100.95,95.51,94.45
2014/7/23,100.4,94.46,93.94
2014/7/22,99.89,93.97,93.54
2014/7/21,99.2,92.48,91.53
2014/7/18,100.85,93.61,92.49
2014/7/17,100.5,94.47,92.9
2014/7/16,102.1,95.25,94.3
2014/7/15,100.85,92.48,92.31
2014/7/14,101.95,92.83,93.59
2014/7/11,101.15,92.07,92.51
2014/7/10,100.8,91.42,92.65
2014/7/9,103.15,92.72,94.44
2014/7/8,102.5,92.7,94
2014/7/7,103.65,93.91,95.91
2014/7/4,105.1,95.15,97.43
2014/7/3,106,95.32,97.67
2014/7/2,104.5,93.88,96.5
2014/7/1,105.45,93.3,96.54
2014/6/30,103.15,92.62,96.45
2014/6/27,102.4,92.36,95.97
2014/6/26,102.9,92.48,96.5
2014/6/25,104.3,93.09,97.6
2014/6/24,104.6,94.1,98.52
2014/6/23,103.25,91.5,98.57
2014/6/20,103.75,92.56,100.25
2014/6/19,103.45,92.67,99.94
2014/6/18,102.8,91.41,98.86
2014/6/17,103.15,90.75,99.14
2014/6/16,102.85,90.93,98.82
2014/6/13,103.6,90.76,98.8
2014/6/12,104.15,91.36,98.79
2014/6/11,104.9,91.74,98.92
2014/6/10,106.35,92.02,99.88
2014/6/9,105,92.58,99.56
2014/6/6,105.2,92.88,99.09
2014/6/5,104.65,92.76,98.63
2014/6/4,105.55,91.27,97.94
2014/6/3,105.4,92.02,97.55
2014/6/2,106.6,91.48,97.96
2014/5/30,106.1,92.09,97.46
2014/5/29,105.05,92.13,97.8
2014/5/28,104.75,91.36,98.02
2014/5/27,105.8,91.77,97.45
2014/5/26,105.2,91.27,97.57
2014/5/23,103.3,89.88,96.31
2014/5/22,102.85,89.34,95.19
2014/5/21,103.35,88.7,94.43
2014/5/20,102.65,88,94.5
2014/5/19,103.4,88.18,95.71
2014/5/16,103.5,86.43,96.13
2014/5/15,103.35,88.11,96.44
2014/5/14,103.5,89.25,98.58
2014/5/13,102.55,89.45,99.82
2014/5/12,102.5,88.7,98.67
2014/5/9,100.2,88.12,96.67
2014/5/8,100.8,88.3,96.83
2014/5/7,99.15,88.19,95.84
2014/5/6,99.07,88.44,93.91
2014/5/5,100,88.75,94.25
2014/5/2,100,89.03,94.09
2014/5/1,100,90.18,95
2014/4/30,100,90.18,95
2014/4/29,101.5,90.34,94.15
2014/4/28,98.95,89.84,93.59
2014/4/25,95.77,89.56,95.97
2014/4/24,97.01,91.46,97.49
2014/4/23,96.83,92.68,97.46
2014/4/22,97.32,94.02,99.03
2014/4/21,93.59,92.12,97.42
2014/4/18,93.59,92.12,97.42
2014/4/17,93.59,92.12,97.42
2014/4/16,92.93,90.41,96.63
2014/4/15,91.51,88.19,94.89
2014/4/14,93.63,90.14,96.35
2014/4/11,92.81,90.21,96.53
2014/4/10,94.62,90.51,97.26
2014/4/9,95.52,91.29,98.17
2014/4/8,95.77,91.42,98.03
2014/4/7,96.52,91.83,97.34
2014/4/4,99,93.85,99.84
2014/4/3,98.46,93.04,98.98
2014/4/2,97.58,92.65,98.38
2014/4/1,97.6,92.09,98.08
2014/3/31,98.18,91.62,97.7
2014/3/28,99.3,92.23,98.97
2014/3/27,97.21,91.28,97.58
2014/3/26,97.65,90.6,97.68
2014/3/25,97.01,89.45,97.15
2014/3/24,94.85,88.06,95.36
2014/3/21,98.1,88.4,97.75
2014/3/20,96.32,87.3,96.35
2014/3/19,95.92,86.6,94.31
2014/3/18,95.29,80.72,94.84
2014/3/17,95.55,80.08,93.69
2014/3/14,95.05,79.26,90.62
2014/3/13,93.12,80.12,89.3
2014/3/12,95.45,80.24,90.95
2014/3/11,95.63,81.21,92.97
2014/3/10,96.44,80.52,91.9
2014/3/7,96.71,81.86,92.8
2014/3/6,99.59,83.08,95.41
2014/3/5,99.99,82.48,95.56
2014/3/4,101.25,82.78,95.53
2014/3/3,98.1,81.65,92.97
2014/2/28,102.9,84.2,96.76
2014/2/27,99.85,83.8,96.01
2014/2/26,100.35,84.31,96.69
2014/2/25,101.3,83.95,96.8
2014/2/24,102.2,84.59,95.69
2014/2/21,101.4,85.22,94.85
2014/2/20,101.2,84.43,95.04
2014/2/19,101.9,85,95.18
2014/2/18,101.3,84.62,94.73
2014/2/17,100.95,84.93,95.44
2014/2/14,101.1,86,95.06
2014/2/13,99.99,85.36,94.29
2014/2/12,99.1,84.97,94.41
2014/2/11,99,84.45,94.08
2014/2/10,95.45,82,93.24
2014/2/7,95.46,81.8,93.4
2014/2/6,95.26,81.44,92.97
2014/2/5,94.84,79.88,92.08
2014/2/4,95.96,80.29,91.84
2014/2/3,97.22,79.99,92.72
2014/1/31,97.89,80.82,93.96
2014/1/30,98.44,80.82,94.14
2014/1/29,98,80.83,94.87
2014/1/28,98.06,81.53,98.94
2014/1/27,98.03,80.44,97.41
2014/1/24,99.12,81.97,96.33
2014/1/23,102.7,84.64,97.99
2014/1/22,104.05,85.73,98.51
2014/1/21,103.1,85.93,99.97
2014/1/20,102.05,86.13,100.4
2014/1/17,101.3,86.21,100.55
2014/1/16,101.25,85.5,100
2014/1/15,101.7,84.96,101.35
2014/1/14,98.11,84.12,98.73
2014/1/13,98.22,84.15,98.52
2014/1/10,99.16,83.15,97.94
2014/1/9,98.82,83.86,97.76
2014/1/8,100.1,84.45,98.42
2014/1/7,101.4,83.55,99.69
2014/1/6,100.35,82.99,99.19
2014/1/3,100.8,83.98,99.5
2014/1/2,100.05,83.54,98.99
2014/1/1,101.95,85.22,99.29
2013/12/31,101.95,85.22,99.29
2013/12/30,101.95,85.22,99.29
2013/12/27,103.05,85.42,100.25
2013/12/26,101.5,84.55,99.06
2013/12/25,101.5,84.55,99.06
2013/12/24,101.5,84.55,99.06
2013/12/23,101.5,84.55,99.06
2013/12/20,99.46,83.99,98.01
2013/12/19,99.4,83.39,97.4
2013/12/18,98.31,82.14,95.2
2013/12/17,96.16,80.44,94.9
2013/12/16,96.96,80.92,96
2013/12/13,95.43,79.79,93.29
2013/12/12,95.69,79.78,93.62
2013/12/11,95.81,80.58,93.81
2013/12/10,95.76,81.05,94.15
2013/12/9,96.98,82.11,94.6
2013/12/6,96.01,82.14,94.68
2013/12/5,95.32,81.58,93.37
2013/12/4,95.75,82.54,94.18
2013/12/3,97.16,83.52,95.19
2013/12/2,98.55,85.11,97.42
2013/11/29,98.2,84.57,97.2
2013/11/28,97.17,84.73,98.27
2013/11/27,96.73,84.8,98.36
2013/11/26,95.79,84.32,97.6
2013/11/25,96.06,84.57,97.76
2013/11/22,95.93,83.77,96.87
2013/11/21,95.98,83.14,95.94
2013/11/20,94.94,83.28,96.85
2013/11/19,94.24,83.02,96.2
2013/11/18,94.59,83.2,96.91
2013/11/15,94.89,81.55,96.72
2013/11/14,95.05,81.6,96.98
2013/11/13,93.03,80.96,95.2
2013/11/12,93.47,81.54,94.87
2013/11/11,93.6,82.07,95.59
2013/11/8,93.8,81.77,95.62
2013/11/7,93.39,81.82,95.66
2013/11/6,93.87,82.16,92.53
2013/11/5,92.71,81.2,92.41
2013/11/4,92.56,83.6,93.58
2013/11/1,91.15,82.68,93.96
2013/10/31,91.54,83.54,94.18
2013/10/30,92.52,82.69,93.73
2013/10/29,92.3,82.21,94.28
2013/10/28,91.39,82.39,93.54
2013/10/25,91.2,83.66,93.85
2013/10/24,90.62,83.56,93.64
2013/10/23,91.22,82,92.51
2013/10/22,90.39,81.85,92.4
2013/10/21,89.3,82.1,90.51
2013/10/18,90.49,82.03,90.92
2013/10/17,89.41,81.94,89.16
2013/10/16,89.47,82.2,90.17
2013/10/15,88.14,82.95,90.28
2013/10/14,86.97,80.63,91.24
2013/10/11,87.24,80.74,91.4
2013/10/10,85.64,80.38,90.69
2013/10/9,84.11,78.8,88.71
2013/10/8,84.32,78.62,89.5
2013/10/7,84.86,79.17,89.77
2013/10/4,86.1,79.68,90.51
2013/10/3,86.26,79.56,90.07
